iter	Passed	Remaining
0	2	2524
1	3	1914
2	5	1774
3	6	1715
4	8	1676
5	9	1600
6	10	1459
7	11	1481
8	13	1502
9	15	1528
10	17	1562
11	18	1559
12	19	1499
13	21	1511
14	23	1528
15	24	1487
16	25	1485
17	28	1530
18	28	1478
19	29	1441
20	30	1429
21	32	1434
22	33	1437
23	36	1500
24	38	1498
25	40	1527
26	42	1529
27	43	1497
28	44	1504
29	46	1508
30	48	1504
31	49	1486
32	50	1482
33	51	1475
34	53	1468
35	54	1464
36	55	1453
37	57	1467
38	59	1464
39	60	1459
40	62	1455
41	64	1464
42	66	1475
43	66	1454
44	68	1453
45	70	1465
46	72	1466
47	73	1463
48	74	1454
49	76	1461
50	79	1481
51	80	1474
52	81	1453
53	82	1450
54	83	1439
55	84	1428
56	86	1426
57	87	1417
58	88	1404
59	89	1400
60	90	1398
61	92	1400
62	94	1410
63	96	1418
64	98	1415
65	100	1416
66	101	1412
67	102	1408
68	105	1416
69	107	1424
70	108	1423
71	109	1417
72	111	1414
73	112	1409
74	114	1407
75	115	1398
76	116	1396
77	118	1402
78	120	1399
79	120	1387
80	121	1375
81	122	1374
82	124	1378
83	126	1377
84	127	1375
85	129	1374
86	131	1376
87	132	1373
88	134	1371
89	135	1369
90	135	1358
91	137	1352
92	138	1350
93	139	1345
94	141	1345
95	142	1345
96	144	1342
97	145	1335
98	146	1334
99	147	1331
100	149	1329
101	150	1321
102	151	1319
103	152	1316
104	154	1315
105	155	1310
106	156	1307
107	157	1303
108	159	1303
109	161	1303
110	162	1300
111	163	1300
112	165	1298
113	167	1300
114	168	1298
115	170	1296
116	171	1294
117	173	1297
118	175	1301
119	178	1306
120	178	1299
121	180	1298
122	181	1296
123	184	1303
124	185	1301
125	187	1299
126	188	1298
127	189	1292
128	192	1296
129	192	1289
130	193	1285
131	196	1289
132	197	1288
133	198	1284
134	199	1279
135	200	1275
136	202	1276
137	204	1274
138	204	1268
139	206	1269
140	207	1264
141	209	1263
142	210	1263
143	212	1263
144	214	1263
145	215	1263
146	217	1262
147	219	1261
148	220	1260
149	223	1267
150	225	1267
151	227	1266
152	228	1265
153	230	1264
154	231	1263
155	233	1265
156	235	1265
157	236	1259
158	238	1260
159	241	1265
160	242	1265
161	244	1264
162	246	1265
163	247	1262
164	249	1261
165	250	1259
166	252	1261
167	254	1261
168	256	1262
169	258	1261
170	260	1261
171	262	1261
172	264	1263
173	265	1260
174	267	1262
175	269	1261
176	271	1261
177	271	1254
178	272	1249
179	274	1250
180	276	1250
181	278	1249
182	279	1247
183	280	1245
184	282	1245
185	284	1243
186	285	1242
187	288	1245
188	293	1258
189	294	1256
190	296	1257
191	298	1255
192	299	1253
193	301	1253
194	303	1251
195	304	1249
196	307	1253
197	309	1251
198	310	1250
199	312	1249
200	313	1248
201	315	1247
202	317	1246
203	318	1244
204	320	1243
205	322	1242
206	325	1245
207	327	1246
208	329	1248
209	331	1246
210	332	1244
211	333	1238
212	334	1236
213	336	1235
214	338	1237
215	341	1237
216	341	1233
217	343	1232
218	345	1231
219	347	1232
220	349	1231
221	351	1230
222	352	1228
223	354	1227
224	356	1227
225	358	1226
226	359	1225
227	361	1223
228	362	1220
229	363	1218
230	366	1219
231	368	1220
232	370	1218
233	371	1216
234	374	1218
235	376	1217
236	377	1215
237	380	1218
238	383	1220
239	384	1218
240	388	1222
241	389	1220
242	391	1220
243	392	1215
244	393	1212
245	396	1216
246	398	1213
247	399	1211
248	400	1207
249	402	1206
250	403	1205
251	405	1203
252	407	1201
253	408	1200
254	410	1200
255	412	1199
256	414	1199
257	416	1197
258	418	1196
259	420	1196
260	422	1195
261	422	1191
262	423	1188
263	425	1187
264	427	1186
265	429	1186
266	431	1184
267	433	1182
268	434	1181
269	435	1178
270	436	1174
271	437	1169
272	437	1166
273	439	1163
274	440	1161
275	442	1161
276	444	1159
277	447	1162
278	449	1160
279	450	1159
280	452	1157
281	453	1155
282	455	1155
283	457	1154
284	458	1151
285	460	1149
286	462	1148
287	464	1149
288	466	1148
289	468	1146
290	469	1142
291	470	1141
292	472	1141
293	474	1139
294	476	1139
295	479	1140
296	481	1139
297	483	1139
298	485	1137
299	486	1135
300	492	1142
301	493	1140
302	496	1142
303	497	1138
304	498	1136
